sector	in.state	month	fuel	calibration_multiplier
com	MT	8	Electric	1.4182582305448537
com	MT	8	Natural Gas	2.0087323163801014
com	MT	9	Electric	1.512637207111314
com	MT	9	Natural Gas	1.736341905391828
com	MT	10	Electric	1.5067541295132099
com	MT	10	Natural Gas	1.6476777621348984
com	MT	11	Electric	1.375000680299389
com	MT	11	Natural Gas	1.5374200382856609
com	MT	12	Electric	1.468930468516612
com	MT	12	Natural Gas	1.4863510003721196
com	NC	1	Electric	0.835570539877277
com	NC	1	Natural Gas	0.7102932348493751
com	NC	2	Electric	1.026552698340292
com	NC	2	Natural Gas	1.2102513148935172
com	NC	3	Electric	0.9485751644925114
com	NC	3	Natural Gas	0.7094238236010154
com	NC	4	Electric	0.9996908598383503
com	NC	4	Natural Gas	0.9218596911594373
com	NC	5	Electric	0.9290948415683291
com	NC	5	Natural Gas	1.046432066954075
com	NC	6	Electric	0.9147052651726127
com	NC	6	Natural Gas	0.8765977246444141
com	NC	7	Electric	0.9987406381116533
com	NC	7	Natural Gas	0.8389041320382628
com	NC	8	Electric	0.9717802361923017
com	NC	8	Natural Gas	0.9102120309008702
com	NC	9	Electric	0.9711516889523487
com	NC	9	Natural Gas	1.022023802468796
com	NC	10	Electric	0.9809006155098642
com	NC	10	Natural Gas	1.1232242968875592
com	NC	11	Electric	0.9329574352614847
com	NC	11	Natural Gas	0.9455772035475375
com	NC	12	Electric	0.8761673473945303
com	NC	12	Natural Gas	1.0018392157158218
com	ND	1	Electric	2.451933448410626
com	ND	1	Natural Gas	1.4763574311183096
com	ND	2	Electric	2.5867420181850314
com	ND	2	Natural Gas	1.3221788152449794
com	ND	3	Electric	3.0855161468678247
com	ND	3	Natural Gas	1.7510024631017604
com	ND	4	Electric	2.9793712133152086
com	ND	4	Natural Gas	1.5245538107722627
com	ND	5	Electric	2.8850069477759526
com	ND	5	Natural Gas	1.5712925697205353
com	ND	6	Electric	2.6945321566474085
com	ND	6	Natural Gas	0.9484484372213027
com	ND	7	Electric	2.6516635557595034
com	ND	7	Natural Gas	0.7830309039400615
com	ND	8	Electric	2.6668588325699494
com	ND	8	Natural Gas	0.8551244117352509
com	ND	9	Electric	2.9356839778405477
com	ND	9	Natural Gas	0.7993645038326741
com	ND	10	Electric	3.117834025078474
com	ND	10	Natural Gas	1.0965114754815568
com	ND	11	Electric	2.922804104411122
com	ND	11	Natural Gas	1.207965417719136
com	ND	12	Electric	2.9019564874318116
com	ND	12	Natural Gas	1.5186686995367669
com	NE	1	Electric	1.147355080603759
com	NE	1	Natural Gas	1.135118035027013
com	NE	2	Electric	1.2552586170653162
com	NE	2	Natural Gas	1.11579987092917
com	NE	3	Electric	1.2594215994137705
com	NE	3	Natural Gas	1.2578411044230173
com	NE	4	Electric	1.2087955965298904
com	NE	4	Natural Gas	0.8995925336578123
com	NE	5	Electric	1.1762840693606975
com	NE	5	Natural Gas	1.1697513439573997
com	NE	6	Electric	1.2238973850575845
com	NE	6	Natural Gas	1.134137375562688
com	NE	7	Electric	1.1717849238311389
com	NE	7	Natural Gas	0.9679225652346014
com	NE	8	Electric	1.2368599597142114
com	NE	8	Natural Gas	0.8809247314883061
com	NE	9	Electric	1.3162886767325024
com	NE	9	Natural Gas	0.8829962009008355
com	NE	10	Electric	1.3282361800313744
com	NE	10	Natural Gas	1.0102318568326951
com	NE	11	Electric	1.1644755534463365
com	NE	11	Natural Gas	0.9904814259979201
com	NE	12	Electric	1.179781257327895
com	NE	12	Natural Gas	1.2393146581113215
com	NH	1	Electric	0.9413741983657102
com	NH	1	Natural Gas	0.8445273541630163
com	NH	2	Electric	1.054574854989199
com	NH	2	Natural Gas	1.0112895058790456
com	NH	3	Electric	0.9870979237893648
com	NH	3	Natural Gas	0.738129746110289
com	NH	4	Electric	0.9668239346014815
com	NH	4	Natural Gas	0.5591748996042375
com	NH	5	Electric	0.9743559546780007
com	NH	5	Natural Gas	0.3549559440798512
com	NH	6	Electric	1.0544025701322213
com	NH	6	Natural Gas	0.24391537983045036
com	NH	7	Electric	1.0058547817036196
com	NH	7	Natural Gas	0.22759437441460925
com	NH	8	Electric	0.9277467352813671
com	NH	8	Natural Gas	0.22589165964958569
com	NH	9	Electric	0.989021485143099
com	NH	9	Natural Gas	0.285610785517433
com	NH	10	Electric	0.9403394247600847
com	NH	10	Natural Gas	0.3672269367661323
com	NH	11	Electric	0.9246941534913662
com	NH	11	Natural Gas	0.4849644809281591
com	NH	12	Electric	0.9533702025495465
com	NH	12	Natural Gas	0.8803927942693898
com	NJ	1	Electric	1.0503334227407262
com	NJ	1	Natural Gas	0.9951062887496533
com	NJ	2	Electric	1.2317341970453823
com	NJ	2	Natural Gas	1.3706097849784644
com	NJ	3	Electric	1.186742789706534
com	NJ	3	Natural Gas	1.0168856521736476
com	NJ	4	Electric	1.1203099097191989
com	NJ	4	Natural Gas	1.1189804838656194
com	NJ	5	Electric	1.129722434815427
com	NJ	5	Natural Gas	1.0985661762160812
com	NJ	6	Electric	1.1932846903863648
com	NJ	6	Natural Gas	1.0018438824418112
com	NJ	7	Electric	1.2015666620906988
com	NJ	7	Natural Gas	0.936127148432481
com	NJ	8	Electric	1.1357420098485818
com	NJ	8	Natural Gas	0.8274447768367329
com	NJ	9	Electric	1.1332527378663602
com	NJ	9	Natural Gas	0.890157224791589
com	NJ	10	Electric	1.1504568629625092
com	NJ	10	Natural Gas	0.9567800677920406
