in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
West North Central,734130127,2024,Office,42472.51138
South Atlantic,2459585938,2024,Office,142297.3774
East South Central,307965851,2024,Office,17817.11801
West South Central,1076310669,2024,Office,62269.09298
Mountain,952591980,2024,Office,55111.44717
Pacific,1472122803,2024,Office,85168.48744
New England,246636734,2024,Office,14268.971
Middle Atlantic,993370911,2024,Office,57470.67961
East North Central,1504891235,2024,Office,87064.27887
West North Central,831546753,2024,Office,48108.47237
South Atlantic,1243607544,2024,Office,71947.91988
East South Central,384321625,2024,Office,22234.62025
West South Central,1111078613,2024,Office,64280.56457
Mountain,769857727,2024,Office,44539.5031
Pacific,1009844787,2024,Office,58423.76253
New England,699287110,2024,Mercantile and Service,53671.90594
Middle Atlantic,2041894409,2024,Mercantile and Service,156720.127
East North Central,3110583984,2024,Mercantile and Service,238744.528
West North Central,1866733032,2024,Mercantile and Service,143276.0854
South Atlantic,3126681641,2024,Mercantile and Service,239980.0605
East South Central,1059062622,2024,Mercantile and Service,81285.51009
West South Central,2369859863,2024,Mercantile and Service,181892.2354
Mountain,1653736206,2024,Mercantile and Service,126928.0855
Pacific,1869949341,2024,Mercantile and Service,143522.9446
New England,540024658,2024,Warehouse,31171.68808
